author_id,final_first_name,final_last_name,first_top5_publication_year,years_since_first_publication,entry_cohort,doi_full,from_publication_number,to_publication_number,publication_transition,previous_publication_year,publication_year,gap_years
AFZ000026,Johannes,Abeler,2011,8,2011-2015,10.3982/ecta14673,1,2,1 to 2,2011,2019,8
AFZ000047,Jason,Abrevaya,2005,5,2001-2005,10.3982/ecta7133,1,2,1 to 2,2005,2010,5
AFZ000072,Tasso,Adamopoulos,2014,7,2011-2015,10.1093/restud/rdab059,1,2,1 to 2,2014,2021,7
AFZ000072,Tasso,Adamopoulos,2014,8,2011-2015,10.3982/ecta16598,2,3,2 to 3,2021,2022,1
AFZ000072,Tasso,Adamopoulos,2014,10,2011-2015,10.1093/qje/qjae010,3,4,3 to 4,2022,2024,2
AFZ000073,Abi,Adams,2014,10,2011-2015,10.1093/qje/qjae022,1,2,1 to 2,2014,2024,10
AFZ000073,Abi,Adams,2014,11,2011-2015,10.1093/qje/qjaf020,2,3,2 to 3,2024,2025,1
AFZ000096,Alberto,Ades,1995,4,1991-1995,10.1162/003355399556205,1,2,1 to 2,1995,1999,4
AFZ000096,Alberto,Ades,1995,4,1991-1995,10.1257/aer.89.4.982,2,3,2 to 3,1999,1999,0
AFZ000099,Achyuta,Adhvaryu,2014,4,2011-2015,10.1086/701606,1,2,1 to 2,2014,2018,4
AFZ000099,Achyuta,Adhvaryu,2014,7,2011-2015,10.1086/717046,2,3,2 to 3,2018,2021,3
AFZ000099,Achyuta,Adhvaryu,2014,8,2011-2015,10.1093/restud/rdac062,3,4,3 to 4,2021,2022,1
AFZ000099,Achyuta,Adhvaryu,2014,9,2011-2015,10.1086/724320,4,5,4 to 5,2022,2023,1
AFZ000105,Alicia,Adsera,2005,9,2001-2005,10.1257/aer.104.5.360,1,2,1 to 2,2005,2014,9
AFZ000108,Christopher,Afendulis,2004,3,2001-2005,10.1257/aer.97.3.1013,1,2,1 to 2,2004,2007,3
AFZ000116,Rajshree,Agarwal,2002,2,2001-2005,10.1257/0002828041301623,1,2,1 to 2,2002,2004,2
AFZ000134,Philippe,Aghion,1991,1,1991-1995,10.2307/2297860,1,2,1 to 2,1991,1992,1
AFZ000134,Philippe,Aghion,1991,1,1991-1995,10.2307/2951599,2,3,2 to 3,1992,1992,0
AFZ000134,Philippe,Aghion,1991,3,1991-1995,10.2307/2297900,3,4,3 to 4,1992,1994,2
AFZ000134,Philippe,Aghion,1991,3,1991-1995,10.2307/2951613,4,5,4 to 5,1994,1994,0
AFZ000134,Philippe,Aghion,1991,6,1991-1995,10.1086/262063,5,6,5 to 6,1994,1997,3
AFZ000134,Philippe,Aghion,1991,6,1991-1995,10.2307/2971707,6,7,6 to 7,1997,1997,0
AFZ000134,Philippe,Aghion,1991,8,1991-1995,10.1162/003355399556296,7,8,7 to 8,1997,1999,2
AFZ000134,Philippe,Aghion,1991,10,1991-1995,10.1111/1467-937x.00177,8,9,8 to 9,1999,2001,2
AFZ000134,Philippe,Aghion,1991,11,1991-1995,10.1111/1468-0262.00312,9,10,9 to 10,2001,2002,1
AFZ000137,Julie,Agnew,2003,5,2001-2005,10.1257/aer.98.2.418,1,2,1 to 2,2003,2008,5
AFZ000148,Mark,Aguiar,2005,2,2001-2005,10.1086/511283,1,2,1 to 2,2005,2007,2
AFZ000148,Mark,Aguiar,2005,2,2001-2005,10.1111/j.1467-937x.2008.00523.x,2,3,2 to 3,2007,2007,0
AFZ000148,Mark,Aguiar,2005,2,2001-2005,10.1162/qjec.122.3.969,3,4,3 to 4,2007,2007,0
AFZ000148,Mark,Aguiar,2005,2,2001-2005,10.1257/aer.97.5.1533,4,5,4 to 5,2007,2007,0
AFZ000148,Mark,Aguiar,2005,4,2001-2005,10.1257/aer.99.2.473,5,6,5 to 6,2007,2009,2
AFZ000148,Mark,Aguiar,2005,6,2001-2005,10.1093/qje/qjr015,6,7,6 to 7,2009,2011,2
AFZ000148,Mark,Aguiar,2005,8,2001-2005,10.1086/670740,7,8,7 to 8,2011,2013,2
AFZ000148,Mark,Aguiar,2005,8,2001-2005,10.1257/aer.103.3.111,8,9,8 to 9,2013,2013,0
AFZ000148,Mark,Aguiar,2005,8,2001-2005,10.1257/aer.103.5.1664,9,10,9 to 10,2013,2013,0
AFZ000148,Mark,Aguiar,2005,9,2001-2005,10.1257/aer.104.5.101,10,11,10 to 11,2013,2014,1
AFZ000148,Mark,Aguiar,2005,10,2001-2005,10.1093/qje/qjv022,11,12,11 to 12,2014,2015,1
AFZ000148,Mark,Aguiar,2005,10,2001-2005,10.1257/aer.20120599,12,13,12 to 13,2015,2015,0
AFZ000195,Anna,Aizer,2003,2,2001-2005,10.1257/000282805774670248,1,2,1 to 2,2003,2005,2
AFZ000195,Anna,Aizer,2003,7,2001-2005,10.1257/aer.100.4.1847,2,3,2 to 3,2005,2010,5
AFZ000203,Ufuk,Akcigit,2015,1,2011-2015,10.1086/684511,1,2,1 to 2,2015,2016,1
AFZ000203,Ufuk,Akcigit,2015,1,2011-2015,10.1257/aer.20150237,2,3,2 to 3,2016,2016,0
AFZ000203,Ufuk,Akcigit,2015,1,2011-2015,10.1257/aer.20150338,3,4,3 to 4,2016,2016,0
AFZ000203,Ufuk,Akcigit,2015,1,2011-2015,10.3982/ecta12144,4,5,4 to 5,2016,2016,0
AFZ000203,Ufuk,Akcigit,2015,2,2011-2015,10.1086/694617,5,6,5 to 6,2016,2017,1
AFZ000203,Ufuk,Akcigit,2015,2,2011-2015,10.1257/aer.p20171021,6,7,6 to 7,2017,2017,0
AFZ000203,Ufuk,Akcigit,2015,3,2011-2015,10.1086/697901,7,8,7 to 8,2017,2018,1
AFZ000203,Ufuk,Akcigit,2015,3,2011-2015,10.1093/restud/rdy027,8,9,8 to 9,2018,2018,0
AFZ000203,Ufuk,Akcigit,2015,3,2011-2015,10.1257/aer.20130470,9,10,9 to 10,2018,2018,0
AFZ000203,Ufuk,Akcigit,2015,5,2011-2015,10.1093/restud/rdaa061,10,11,10 to 11,2018,2020,2
AFZ000203,Ufuk,Akcigit,2015,6,2011-2015,10.1093/qje/qjab022,11,12,11 to 12,2020,2021,1
AFZ000203,Ufuk,Akcigit,2015,6,2011-2015,10.1257/aer.20180555,12,13,12 to 13,2021,2021,0
AFZ000203,Ufuk,Akcigit,2015,7,2011-2015,10.3982/ecta15445,13,14,13 to 14,2021,2022,1
AFZ000203,Ufuk,Akcigit,2015,8,2011-2015,10.1086/724289,14,15,14 to 15,2022,2023,1
AFZ000203,Ufuk,Akcigit,2015,8,2011-2015,10.3982/ecta18338,15,16,15 to 16,2023,2023,0
AFZ000203,Ufuk,Akcigit,2015,9,2011-2015,10.1093/restud/rdae047,16,17,16 to 17,2023,2024,1
AFZ000208,Anders,Akerman,2013,2,2011-2015,10.1093/qje/qjv028,1,2,1 to 2,2013,2015,2
AFZ000226,Larbi,Alaoui,2015,7,2011-2015,10.1086/718378,1,2,1 to 2,2015,2022,7
AFZ000227,Vivi,Alatas,2012,4,2011-2015,10.1086/685299,1,2,1 to 2,2012,2016,4
AFZ000227,Vivi,Alatas,2012,4,2011-2015,10.1257/aer.20140705,2,3,2 to 3,2016,2016,0
AFZ000231,Stefania,Albanesi,2003,3,2001-2005,10.1111/j.1467-937x.2006.00367.x,1,2,1 to 2,2003,2006,3
AFZ000231,Stefania,Albanesi,2003,9,2001-2005,10.1093/restud/rds014,2,3,2 to 3,2006,2012,6
AFZ000239,Rui,Albuquerque,2004,3,2001-2005,10.1111/j.1467-937x.2007.00412.x,1,2,1 to 2,2004,2007,3
AFZ000253,Laurence,Ales,2015,1,2011-2015,10.1257/aer.20151093,1,2,1 to 2,2015,2016,1
AFZ000253,Laurence,Ales,2015,7,2011-2015,10.3982/ecta18542,2,3,2 to 3,2016,2022,6
AFZ000277,Nageeb,Ali,2011,5,2011-2015,10.1257/aer.20130768,1,2,1 to 2,2011,2016,5
AFZ000277,Nageeb,Ali,2011,7,2011-2015,10.1093/restud/rdy013,2,3,2 to 3,2016,2018,2
AFZ000277,Nageeb,Ali,2011,10,2011-2015,10.1093/qje/qjab024,3,4,3 to 4,2018,2021,3
AFZ000277,Nageeb,Ali,2011,10,2011-2015,10.1257/aer.20200304,4,5,4 to 5,2021,2021,0
AFZ000277,Nageeb,Ali,2011,11,2011-2015,10.1093/restud/rdac033,5,6,5 to 6,2021,2022,1
AFZ000295,Jason,Allen,2014,4,2011-2015,10.1086/701684,1,2,1 to 2,2014,2018,4
AFZ000295,Jason,Allen,2014,9,2011-2015,10.1086/725361,2,3,2 to 3,2018,2023,5
AFZ000295,Jason,Allen,2014,9,2011-2015,10.1093/restud/rdad062,3,4,3 to 4,2023,2023,0
AFZ000304,Treb,Allen,2014,0,2011-2015,10.3982/ecta10984,1,2,1 to 2,2014,2014,0
AFZ000304,Treb,Allen,2014,5,2011-2015,10.1086/704385,2,3,2 to 3,2014,2019,5
AFZ000304,Treb,Allen,2014,8,2011-2015,10.1093/restud/rdac001,3,4,3 to 4,2019,2022,3
AFZ000304,Treb,Allen,2014,8,2011-2015,10.3982/ecta14411,4,5,4 to 5,2022,2022,0
AFZ000311,Ingvild,Almas,2012,4,2011-2015,10.1257/aer.p20161075,1,2,1 to 2,2012,2016,4
AFZ000311,Ingvild,Almas,2012,7,2011-2015,10.1086/705551,2,3,2 to 3,2016,2019,3
AFZ000319,Douglas,Almond,2004,1,2001-2005,10.1257/000282805774669943,1,2,1 to 2,2004,2005,1
AFZ000319,Douglas,Almond,2004,2,2001-2005,10.1086/507154,2,3,2 to 3,2005,2006,1
AFZ000319,Douglas,Almond,2004,5,2001-2005,10.1162/qjec.2009.124.4.1729,3,4,3 to 4,2006,2009,3
AFZ000319,Douglas,Almond,2004,5,2001-2005,10.1257/aer.99.2.184,4,5,4 to 5,2009,2009,0
AFZ000319,Douglas,Almond,2004,6,2001-2005,10.1162/qjec.2010.125.2.591,5,6,5 to 6,2009,2010,1
AFZ000321,Nabil,AlNajjar,1995,11,1991-1995,10.1111/j.1467-937x.2006.00399.x,1,2,1 to 2,1995,2006,11
AFZ000331,Marcella,Alsan,2015,2,2011-2015,10.1093/qje/qjx029,1,2,1 to 2,2015,2017,2
AFZ000331,Marcella,Alsan,2015,3,2011-2015,10.1086/700766,2,3,2 to 3,2017,2018,1
AFZ000331,Marcella,Alsan,2015,4,2011-2015,10.1257/aer.20181446,3,4,3 to 4,2018,2019,1
AFZ000331,Marcella,Alsan,2015,8,2011-2015,10.1093/qje/qjad036,4,5,4 to 5,2019,2023,4
AFZ000331,Marcella,Alsan,2015,10,2011-2015,10.1093/qje/qjaf005,5,6,5 to 6,2023,2025,2
AFZ000331,Marcella,Alsan,2015,11,2011-2015,10.1093/qje/qjag024,6,7,6 to 7,2025,2026,1
AFZ000343,Steffen,Altmann,2013,8,2011-2015,10.1093/restud/rdab087,1,2,1 to 2,2013,2021,8
AFZ000350,Omar,Al-Ubaydli,2011,4,2011-2015,10.1257/aer.p20151013,1,2,1 to 2,2011,2015,4
AFZ000350,Omar,Al-Ubaydli,2011,6,2011-2015,10.1257/aer.p20171115,2,3,2 to 3,2015,2017,2
AFZ000355,Javier,Alvarez,2003,7,2001-2005,10.1111/j.1467-937x.2010.00612.x,1,2,1 to 2,2003,2010,7
AFZ000374,Sandro,Ambuehl,2015,2,2011-2015,10.1257/aer.p20171109,1,2,1 to 2,2015,2017,2
AFZ000374,Sandro,Ambuehl,2015,6,2011-2015,10.1257/aer.20191039,2,3,2 to 3,2017,2021,4
AFZ000374,Sandro,Ambuehl,2015,7,2011-2015,10.1257/aer.20210290,3,4,3 to 4,2021,2022,1
AFZ000374,Sandro,Ambuehl,2015,11,2011-2015,10.1257/aer.20211491,4,5,4 to 5,2022,2026,4
AFZ000376,John,Ameriks,2003,4,2001-2005,10.1257/aer.97.3.966,1,2,1 to 2,2003,2007,4
AFZ000389,Catalina,Amuedo-Dorantes,2003,3,2001-2005,10.1257/000282806777211946,1,2,1 to 2,2003,2006,3
AFZ000389,Catalina,Amuedo-Dorantes,2003,4,2001-2005,10.1257/aer.97.2.412,2,3,2 to 3,2006,2007,1
AFZ000389,Catalina,Amuedo-Dorantes,2003,8,2001-2005,10.1257/aer.101.3.582,3,4,3 to 4,2007,2011,4
AFZ000389,Catalina,Amuedo-Dorantes,2003,9,2001-2005,10.1257/aer.102.3.543,4,5,4 to 5,2011,2012,1
AFZ000401,Luca,Anderlini,1994,1,1991-1995,10.2307/2171773,1,2,1 to 2,1994,1995,1
AFZ000401,Luca,Anderlini,1994,7,1991-1995,10.1111/1468-0262.00196,2,3,2 to 3,1995,2001,6
AFZ000409,Torben,Andersen,2003,1,2001-2005,10.1111/j.1468-0262.2005.00572.x,1,2,1 to 2,2003,2004,1
AFZ000409,Torben,Andersen,2003,2,2001-2005,10.1257/000282805774669574,2,3,2 to 3,2004,2005,1
AFZ000413,Deborah,Anderson,2002,2,2001-2005,10.1257/0002828041301515,1,2,1 to 2,2002,2004,2
AFZ000421,Lisa,Anderson,2004,4,2001-2005,10.1257/aer.98.2.418,1,2,1 to 2,2004,2008,4
AFZ000423,Michael,Anderson,2013,1,2011-2015,10.1257/aer.104.9.2763,1,2,1 to 2,2013,2014,1
AFZ000425,Patricia,Anderson,1993,4,1991-1995,10.1162/003355397555389,1,2,1 to 2,1993,1997,4
AFZ000432,Siwan,Anderson,2003,7,2001-2005,10.1111/j.1467-937x.2010.00609.x,1,2,1 to 2,2003,2010,7
AFZ000433,Soren,Anderson,2011,0,2011-2015,10.1257/aer.101.4.1375,1,2,1 to 2,2011,2011,0
AFZ000433,Soren,Anderson,2011,7,2011-2015,10.1086/697203,2,3,2 to 3,2011,2018,7
AFZ000441,Tommy,Andersson,2014,5,2011-2015,10.1093/restud/rdz018,1,2,1 to 2,2014,2019,5
AFZ000459,Isaiah,Andrews,2014,2,2011-2015,10.1257/aer.20131082,1,2,1 to 2,2014,2016,2
AFZ000459,Isaiah,Andrews,2014,2,2011-2015,10.3982/ecta12030,2,3,2 to 3,2016,2016,0
AFZ000459,Isaiah,Andrews,2014,2,2011-2015,10.3982/ecta12407,3,4,3 to 4,2016,2016,0
AFZ000459,Isaiah,Andrews,2014,2,2011-2015,10.3982/ecta12868,4,5,4 to 5,2016,2016,0
AFZ000459,Isaiah,Andrews,2014,3,2011-2015,10.1093/qje/qjx023,5,6,5 to 6,2016,2017,1
AFZ000459,Isaiah,Andrews,2014,5,2011-2015,10.1093/qje/qjad043,6,7,6 to 7,2017,2019,2
AFZ000459,Isaiah,Andrews,2014,5,2011-2015,10.1257/aer.20180310,7,8,7 to 8,2019,2019,0
AFZ000459,Isaiah,Andrews,2014,6,2011-2015,10.3982/ecta16768,8,9,8 to 9,2019,2020,1
AFZ000459,Isaiah,Andrews,2014,7,2011-2015,10.3982/ecta18155,9,10,9 to 10,2020,2021,1
AFZ000459,Isaiah,Andrews,2014,8,2011-2015,10.3982/ecta18678,10,11,10 to 11,2021,2022,1
AFZ000459,Isaiah,Andrews,2014,9,2011-2015,10.1093/restud/rdad004,11,12,11 to 12,2022,2023,1
AFZ000459,Isaiah,Andrews,2014,11,2011-2015,10.1093/qje/qjaf018,12,13,12 to 13,2023,2025,2
AFZ000471,Elliot,Anenberg,2014,11,2011-2015,10.1257/aer.20231264,1,2,1 to 2,2014,2025,11
AFZ000476,George-Marios,Angeletos,2002,2,2001-2005,10.1257/0002828041301641,1,2,1 to 2,2002,2004,2
AFZ000476,George-Marios,Angeletos,2002,3,2001-2005,10.1257/0002828054825655,2,3,2 to 3,2004,2005,1
AFZ000476,GeorgeMarios,Angeletos,2002,4,2001-2005,10.1086/504901,3,4,3 to 4,2005,2006,1
AFZ000476,George-Marios,Angeletos,2002,4,2001-2005,10.1111/j.1468-0262.2006.00666.x,4,5,4 to 5,2006,2006,0
AFZ000476,George-Marios,Angeletos,2002,4,2001-2005,10.1257/aer.96.5.1720,5,6,5 to 6,2006,2006,0
AFZ000476,George-Marios,Angeletos,2002,5,2001-2005,10.1111/j.1468-0262.2007.00766.x,6,7,6 to 7,2006,2007,1
AFZ000476,George-Marios,Angeletos,2002,5,2001-2005,10.1111/j.1468-0262.2007.00783.x,7,8,7 to 8,2007,2007,0
AFZ000476,George-Marios,Angeletos,2002,11,2001-2005,10.3982/ecta10008,8,9,8 to 9,2007,2013,6
AFZ000488,Joshua,Angrist,1991,3,1991-1995,10.2307/2951620,1,2,1 to 2,1991,1994,3
AFZ000488,Joshua,Angrist,1991,7,1991-1995,10.2307/2998558,2,3,2 to 3,1994,1998,4
AFZ000488,Joshua,Angrist,1991,8,1991-1995,10.1162/003355399556061,3,4,3 to 4,1998,1999,1
AFZ000488,Joshua,Angrist,1991,9,1991-1995,10.1111/1467-937x.00141,4,5,4 to 5,1999,2000,1
AFZ000488,Joshua,Angrist,1991,10,1991-1995,10.1086/322836,5,6,5 to 6,2000,2001,1
AFZ000488,Joshua,Angrist,1991,11,1991-1995,10.1111/1468-0262.00270,6,7,6 to 7,2001,2002,1
AFZ000488,Joshua,Angrist,1991,11,1991-1995,10.1257/000282802762024629,7,8,7 to 8,2002,2002,0
AFZ000491,Francis,Annan,2015,2,2011-2015,10.1257/aer.p20171142,1,2,1 to 2,2015,2017,2
AFZ000491,Francis,Annan,2015,9,2011-2015,10.1086/734133,2,3,2 to 3,2017,2024,7
AFZ000506,James,Anton,1992,10,1991-1995,10.1111/1467-937x.t01-1-00020,1,2,1 to 2,1992,2002,10
AFZ000514,Pol,Antras,2003,1,2001-2005,10.1086/383099,1,2,1 to 2,2003,2004,1
AFZ000514,Pol,Antras,2003,2,2001-2005,10.1257/0002828054825600,2,3,2 to 3,2004,2005,1
AFZ000514,Pol,Antras,2003,2,2001-2005,10.1257/000282805774669871,3,4,3 to 4,2005,2005,0
AFZ000514,Pol,Antras,2003,3,2001-2005,10.1162/003355306776083527; 10.1162/qjec.2006.121.1.31; 10.1093/qje/121.1.31,4,5,4 to 5,2005,2006,1
AFZ000514,Pol,Antras,2003,4,2001-2005,10.1257/aer.97.3.916,5,6,5 to 6,2006,2007,1
AFZ000514,Pol,Antras,2003,6,2001-2005,10.1086/605583,6,7,6 to 7,2007,2009,2
AFZ000514,Pol,Antras,2003,6,2001-2005,10.1162/qjec.2009.124.3.1171,7,8,7 to 8,2009,2009,0
AFZ000514,Pol,Antras,2003,7,2001-2005,10.1257/aer.100.2.424,8,9,8 to 9,2009,2010,1
AFZ000514,Pol,Antras,2003,8,2001-2005,10.1093/qje/qjr019,9,10,9 to 10,2010,2011,1
AFZ000514,Pol,Antras,2003,9,2001-2005,10.1257/aer.102.3.412,10,11,10 to 11,2011,2012,1
AFZ000514,Pol,Antras,2003,9,2001-2005,10.1257/aer.102.3.470,11,12,11 to 12,2012,2012,0
AFZ000514,Pol,Antras,2003,9,2001-2005,10.1257/aer.102.7.3140,12,13,12 to 13,2012,2012,0
AFZ000515,Werner,Antweiler,2001,1,2001-2005,10.1257/000282802760015621,1,2,1 to 2,2001,2002,1
AFZ000515,Werner,Antweiler,2001,2,2001-2005,10.1257/000282803321947489,2,3,2 to 3,2002,2003,1
AFZ000529,Coren,Apicella,2014,3,2011-2015,10.1257/aer.p20171019,1,2,1 to 2,2014,2017,3
AFZ000557,Peter,Arcidiacono,2003,2,2001-2005,10.1111/j.1468-0262.2005.00627.x,1,2,1 to 2,2003,2005,2
AFZ000557,Peter,Arcidiacono,2003,8,2001-2005,10.3982/ecta7743,2,3,2 to 3,2005,2011,6
AFZ000577,Dan,Ariely,2003,6,2001-2005,10.1111/j.1467-937x.2009.00534.x,1,2,1 to 2,2003,2009,6
AFZ000577,Dan,Ariely,2003,6,2001-2005,10.1257/aer.99.1.544,2,3,2 to 3,2009,2009,0
AFZ000577,Dan,Ariely,2003,7,2001-2005,10.1257/aer.100.1.130,3,4,3 to 4,2009,2010,1
AFZ000589,Roc,Armenter,2012,2,2011-2015,10.1257/aer.104.7.2127,1,2,1 to 2,2012,2014,2
AFZ000589,Roc,Armenter,2012,5,2011-2015,10.1093/restud/rdx001,2,3,2 to 3,2014,2017,3
AFZ000592,Philip,Armour,2013,7,2011-2015,10.1086/713098,1,2,1 to 2,2013,2020,7
AFZ000645,Adam,Ashcraft,2005,2,2001-2005,10.1257/aer.97.2.221,1,2,1 to 2,2005,2007,2
AFZ000645,Adam,Ashcraft,2005,6,2001-2005,10.1257/aer.101.3.115,2,3,2 to 3,2007,2011,4
AFZ000655,Quamrul,Ashraf,2011,2,2011-2015,10.1257/aer.103.1.1,1,2,1 to 2,2011,2013,2
AFZ000655,Quamrul,Ashraf,2011,2,2011-2015,10.1257/aer.103.3.528,2,3,2 to 3,2013,2013,0
AFZ000655,Quamrul,Ashraf,2011,9,2011-2015,10.3982/ecta13734,3,4,3 to 4,2013,2020,7
AFZ000666,MARCUS,ASPLUND,2001,5,2001-2005,10.1111/j.1467-937x.2006.00377.x,1,2,1 to 2,2001,2006,5
AFZ000679,Enghin,Atalay,2014,5,2011-2015,10.1093/qje/qjz026,1,2,1 to 2,2014,2019,5
AFZ000689,Andrew,Atkeson,1991,1,1991-1995,10.2307/2297858,1,2,1 to 2,1991,1992,1
AFZ000689,Andrew,Atkeson,1991,8,1991-1995,10.1257/aer.89.4.1028,2,3,2 to 3,1992,1999,7
AFZ000689,Andrew,Atkeson,1991,11,1991-1995,10.1086/324389,3,4,3 to 4,1999,2002,3
AFZ000690,David,Atkin,2013,2,2011-2015,10.1086/695476,1,2,1 to 2,2013,2015,2
AFZ000690,David,Atkin,2013,2,2011-2015,10.1257/aer.p20151050,2,3,2 to 3,2015,2015,0
AFZ000690,David,Atkin,2013,3,2011-2015,10.1257/aer.20120901,3,4,3 to 4,2015,2016,1
AFZ000690,David,Atkin,2013,3,2011-2015,10.1257/aer.20140297,4,5,4 to 5,2016,2016,0
AFZ000690,David,Atkin,2013,4,2011-2015,10.1093/qje/qjx002,5,6,5 to 6,2016,2017,1
AFZ000690,David,Atkin,2013,4,2011-2015,10.1093/qje/qjx010,6,7,6 to 7,2017,2017,0
AFZ000690,David,Atkin,2013,7,2011-2015,10.1086/712761,7,8,7 to 8,2017,2020,3
AFZ000690,David,Atkin,2013,9,2011-2015,10.3982/ecta14411,8,9,8 to 9,2020,2022,2
AFZ000690,David,Atkin,2013,10,2011-2015,10.1093/qje/qjad037,9,10,9 to 10,2022,2023,1
AFZ000697,Orazio,Attanasio,1991,2,1991-1995,10.2307/2298128,1,2,1 to 2,1991,1993,2
AFZ000697,Orazio,Attanasio,1991,4,1991-1995,10.1086/601443,2,3,2 to 3,1993,1995,2
AFZ000697,Orazio,Attanasio,1991,5,1991-1995,10.1086/262058,3,4,3 to 4,1995,1996,1
AFZ000697,Orazio,Attanasio,1991,9,1991-1995,10.1111/1467-937x.00149,4,5,4 to 5,1996,2000,4
AFZ000697,Orazio,Attanasio,1991,11,1991-1995,10.1086/338743,5,6,5 to 6,2000,2002,2
AFZ000697,Orazio,Attanasio,1991,11,1991-1995,10.1086/340774,6,7,6 to 7,2002,2002,0
AFZ000698,Andrea,Attar,2011,10,2011-2015,10.1257/aer.20190189,1,2,1 to 2,2011,2021,10
AFZ000717,Maximilian,Auffhammer,2011,2,2011-2015,10.1093/restud/rdt035,1,2,1 to 2,2011,2013,2
AFZ000717,Maximilian,Auffhammer,2011,3,2011-2015,10.1257/aer.104.5.575,2,3,2 to 3,2013,2014,1
AFZ000718,Ned,Augenblick,2015,0,2011-2015,10.1093/restud/rdv037,1,2,1 to 2,2015,2015,0
AFZ000718,Ned,Augenblick,2015,0,2011-2015,10.1093/restud/rdv047,2,3,2 to 3,2015,2015,0
AFZ000718,Ned,Augenblick,2015,3,2011-2015,10.1093/restud/rdy019,3,4,3 to 4,2015,2018,3
AFZ000718,Ned,Augenblick,2015,6,2011-2015,10.1093/qje/qjaa043,4,5,4 to 5,2018,2021,3
AFZ000718,Ned,Augenblick,2015,9,2011-2015,10.1093/qje/qjae032,5,6,5 to 6,2021,2024,3
AFZ000728,David,AustenSmith,1994,6,1991-1995,10.1086/317680,1,2,1 to 2,1994,2000,6
AFZ000728,David,AustenSmith,1994,11,1991-1995,10.1093/qje/120.2.551; 10.1162/0033553053970205,2,3,2 to 3,2000,2005,5
AFZ000773,Eduardo,Azevedo,2014,2,2011-2015,10.1086/687476,1,2,1 to 2,2014,2016,2
AFZ000773,Eduardo,Azevedo,2014,3,2011-2015,10.3982/ecta13434,2,3,2 to 3,2016,2017,1
AFZ000773,Eduardo,Azevedo,2014,4,2011-2015,10.1093/restud/rdy042,3,4,3 to 4,2017,2018,1
AFZ000773,Eduardo,Azevedo,2014,5,2011-2015,10.1257/aer.20180771,4,5,4 to 5,2018,2019,1
AFZ000773,Eduardo,Azevedo,2014,6,2011-2015,10.1086/710607,5,6,5 to 6,2019,2020,1
AFZ000776,Pierre,Azoulay,2004,6,2001-2005,10.1162/qjec.2010.125.2.549,1,2,1 to 2,2004,2010,6
AFZ000779,Marina,Azzimonti,2011,3,2011-2015,10.1257/aer.104.8.2267,1,2,1 to 2,2011,2014,3
AFZ000803,Rudiger,Bachmann,2014,7,2011-2015,10.1093/restud/rdag055,1,2,1 to 2,2014,2021,7
AFZ000803,Rudiger,Bachmann,2014,8,2011-2015,10.1093/restud/rdag033,2,3,2 to 3,2021,2022,1
AFZ000805,Kerry,Back,1993,11,1991-1995,10.1111/j.1468-0262.2004.00497.x,1,2,1 to 2,1993,2004,11
AFZ000820,Jesper,Bagger,2014,0,2011-2015,10.1257/aer.104.6.1551,1,2,1 to 2,2014,2014,0
AFZ000839,Katherine,Baicker,2004,1,2001-2005,10.1162/qjec.2005.120.1.345; 10.1162/0033553053327461,1,2,1 to 2,2004,2005,1
